Bedrooms,Bathrooms,Address,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs
5,3,"106 Lawrence Crescent Hill Park, Auckland",714,960000,-37.0129205,174.9040694,7009770,48,27,24,21,24,21,Manurewa
5,3,"8 Corsica Way Karaka, Auckland",564,1250000,-37.0636724,174.9229121,7009991,42,18,12,21,15,30,Karaka
6,4,"243 Harbourside Drive Karaka, Auckland",626,1250000,-37.0635797,174.9240444,7009991,42,18,12,21,15,30,Karaka
2,1,"2/30 Hardington Street Onehunga, Auckland",65,740000,-36.9129964,174.7874249,7007871,42,6,21,21,12,15,Onehunga
3,1,"59 Israel Avenue Clover Park, Auckland",601,630000,-36.9790369,174.8926119,7008902,93,27,33,30,21,33,Clover Park
3,1,"14 Tainui Terrace Mangere Bridge, Auckland",100,1050000,-36.9439289,174.7805015,7007917,63,15,24,33,30,39,Mangere Bridge
3,1,"54 Kelmarna Avenue Ponsonby, Auckland",531,2525000,-36.8492389,174.7344513,7004908,33,12,18,12,15,9,Ponsonby
3,2,"39 Rawhiti Road One Tree Hill, Auckland",1024,1400000,-36.9077,174.7960425,7005903,36,33,39,21,12,24,One Tree Hill
3,2,"17b Tawa Crescent Manurewa, Auckland",80,475000,-37.0333224,174.8981131,7009808,45,27,15,12,12,12,Manurewa
4,2,"39a Keegan Drive Massey, Auckland",204,660000,-36.8462083,174.6207944,7003826,30,27,36,15,24,12,Massey
4,2,"39c Keegan Drive Massey, Auckland",170,900000,-36.8462083,174.6207944,7003826,30,27,36,15,24,12,Massey
4,2,"39b Keegan Drive Massey, Auckland",170,660000,-36.8462083,174.6207944,7003826,30,27,36,15,24,12,Massey
3,1,"9 Menear Lane Hillcrest, Auckland",637,920000,-36.7925353,174.7272634,7002805,42,33,36,30,24,24,Hillcrest
3,1,"10 Fairlight Place Manurewa, Auckland",640,570000,-37.0251198,174.879631,7009565,69,33,24,21,15,9,Manurewa
4,2,"11 Arran Drive Millwater, Auckland",650,1150000,-36.9040755,174.6942569,7004424,54,45,33,18,18,6,Avondale
3,1,"53a Kimber Hall Avenue Mount Roskill, Auckland",138,1200000,-36.9184475,174.7177085,7007562,51,36,30,18,18,36,Mount Roskill
2,1,"1/77 Kimber Hall Avenue Mount Roskill, Auckland",75,640000,-36.9185162,174.7192568,7007562,51,36,30,18,18,36,Mount Roskill
5,3,"42 Johns Creek Crescent Silverdale, Auckland",724,640000,-36.6219389,174.6639437,7001422,51,54,66,24,9,12,Silverdale
5,3,"4 Ahorangi Road Silverdale, Auckland",429,1180000,-36.6233277,174.6640143,7001422,51,54,66,24,9,12,Silverdale
5,3,"32 Johns Creek Crescent Silverdale, Auckland",520,590000,-36.6219389,174.6639437,7001422,51,54,66,24,9,12,Silverdale
3,1,"577 Mt Albert Road Royal Oak, Auckland",1381,2080000,-36.910598,174.7633054,7007751,27,36,24,18,12,9,Royal Oak
5,4,"109 Aberley Road Schnapper Rock, Auckland",732,1800000,-36.7506011,174.6795585,7002324,63,27,24,51,30,18,Schnapper Rock
4,2,"19 Kenley Place Avondale, Auckland",799,1145000,-36.8896501,174.6746069,7004268,48,24,30,24,18,27,Avondale
3,1,"27 Stottholm Road Titirangi, Auckland",1105,920000,-36.9284876,174.6694885,7007391,72,21,30,33,27,15,Titirangi
3,1,"71 First Avenue Kingsland, Auckland",463,1500000,-36.8721796,174.7386307,7004956,21,33,18,24,21,12,Kingsland
3,2,"17 Dalwhinnie Parade Highland Park, Auckland",681,1100000,-36.9014454,174.915807,7006932,12,12,15,12,15,24,Highland Park
3,2,"24a Roberts Road Matakatia Bay, Auckland",4068,710000,-36.6192234,174.7798928,7001678,51,18,15,27,36,42,Matakatia
2,1,"72 Stonefields Avenue Stonefields, Auckland",106,1020000,-36.887909,174.8432822,7006356,45,18,42,51,18,42,Stonefields
3,1,"62 Richardson Road Mount Albert, Auckland",713,1150000,-36.8924701,174.7140153,7004636,51,39,15,21,45,33,Mount Albert
3,2,"47b Comins Crescent Mission Bay, Auckland",211,1600000,-36.8540672,174.8347488,7006277,24,18,27,24,18,51,Mission Bay
3,2,"26 Fairholme Avenue Epsom, Auckland",402,1280000,-36.9031776,174.7684391,7005632,30,24,18,15,15,30,Epsom
3,1,"24 Fairholme Avenue Epsom, Auckland",883,2150000,-36.9033021,174.7686074,7005632,30,24,18,15,15,30,Epsom
5,3,"4 Fairholme Avenue Epsom, Auckland",883,2425000,-36.9037324,174.7707047,7005632,30,24,18,15,15,30,Epsom
4,3,"4 Fairholme Avenue, Auckland",883 m²,2425000,-36.9037324,174.7707047,7005632,30,24,18,15,15,30,Epsom
4,1,"7 Rata Place Pukekohe, Auckland",675,435000,-37.1914653,174.8967586,7010341,96,36,24,24,12,9,Pukekohe
4,3,"19b Hendry Avenue Hillsborough, Auckland",388,1300000,-36.9191013,174.7602332,7007766,51,48,33,30,18,12,Hillsborough
3,2,"28 Tiraumea Drive Pakuranga, Auckland",1034,1120000,-36.9176375,174.8696662,7008696,90,48,51,27,36,36,Pakuranga
3,1,"47 Frank Street Oneroa, Auckland",1295,850000,-36.7850631,175.0278712,7003352,30,12,9,15,18,33,Oneroa
3,2,"52a Sunnyside Road Sunnyvale, Auckland",1102,930000,-36.8970908,174.6382264,7004023,51,15,24,21,12,24,Sunnyvale
3,2,"21 Capriana Drive Karaka, Auckland",551,1025000,-37.0639294,174.9194913,7009992,51,21,30,21,18,36,Karaka
3,1,"21 Overton Road Papatoetoe, Auckland",809,930000,-36.9710412,174.8693896,7008633,54,42,39,21,27,36,Papatoetoe
2,1,"1a Herd Road Hillsborough, Auckland",1108,1225000,-36.916308,174.7598366,7007765,39,39,30,24,24,33,Hillsborough
6,3,"45 Kensington Terrace Gulf Harbour, Auckland",745,1100000,-36.6089222,174.785329,7001675,75,12,30,51,24,42,Gulf Harbour
5,3,"15 Harapaki Road Meadowbank, Auckland",613,1925000,-36.8700462,174.8251511,7006190,69,12,42,45,18,18,Meadowbank
